name,latitude,longitude,timestamp,pm25,pm10,co,no2,o3
Berlin,52.5200,13.4000,2024-12-10 08:00,8.0,12.0,0.3,10.0,15.0
Berlin,52.5200,13.4000,2024-12-10 09:00,8.3,12.3,0.32,10.4,15.2
Berlin,52.5200,13.4000,2024-12-10 10:00,8.6,12.7,0.34,10.8,15.5
Berlin,52.5200,13.4000,2024-12-10 11:00,8.9,13.1,0.36,11.2,15.8
Berlin,52.5200,13.4000,2024-12-10 12:00,9.2,13.4,0.38,11.6,16.0
Berlin,52.5200,13.4000,2024-12-10 13:00,9.5,13.8,0.4,12.0,16.2
Berlin,52.5200,13.4000,2024-12-10 14:00,9.8,14.1,0.42,12.4,16.5
Berlin,52.5200,13.4000,2024-12-10 15:00,10.1,14.4,0.44,12.8,16.8
Berlin,52.5200,13.4000,2024-12-10 16:00,10.4,14.8,0.46,13.2,17.0
Berlin,52.5200,13.4000,2024-12-10 17:00,10.7,15.2,0.48,13.6,17.2
Berlin,52.5200,13.4000,2024-12-10 18:00,11.0,15.5,0.5,14.0,17.5
Berlin,52.5200,13.4000,2024-12-10 19:00,11.3,15.8,0.52,14.4,17.8
Berlin,52.5200,13.4000,2024-12-10 20:00,11.6,16.2,0.54,14.8,18.0
Berlin,52.5200,13.4000,2024-12-10 21:00,11.9,16.6,0.56,15.2,18.2
Berlin,52.5200,13.4000,2024-12-10 22:00,12.2,16.9,0.58,15.6,18.5
Berlin,52.5200,13.4000,2024-12-10 23:00,12.5,17.2,0.6,16.0,18.8
Berlin,52.5200,13.4000,2024-12-11 00:00,12.8,17.6,0.62,16.4,19.0
Berlin,52.5200,13.4000,2024-12-11 01:00,13.1,17.9,0.64,16.8,19.2
Berlin,52.5200,13.4000,2024-12-11 02:00,13.4,18.3,0.66,17.2,19.5
Berlin,52.5200,13.4000,2024-12-11 03:00,13.7,18.6,0.68,17.6,19.8
Paris,48.8500,2.3500,2024-12-10 09:00,13.0,18.0,0.5,14.0,18.0
Paris,48.8500,2.3500,2024-12-10 10:00,13.3,18.4,0.52,14.4,18.2
Paris,48.8500,2.3500,2024-12-10 11:00,13.6,18.7,0.54,14.8,18.5
Paris,48.8500,2.3500,2024-12-10 12:00,13.9,19.1,0.56,15.2,18.8
Paris,48.8500,2.3500,2024-12-10 13:00,14.2,19.4,0.58,15.6,19.0
Paris,48.8500,2.3500,2024-12-10 14:00,14.5,19.8,0.6,16.0,19.2
Paris,48.8500,2.3500,2024-12-10 15:00,14.8,20.1,0.62,16.4,19.5
Paris,48.8500,2.3500,2024-12-10 16:00,15.1,20.4,0.64,16.8,19.8
Paris,48.8500,2.3500,2024-12-10 17:00,15.4,20.8,0.66,17.2,20.0
Paris,48.8500,2.3500,2024-12-10 18:00,15.7,21.1,0.68,17.6,20.2
Paris,48.8500,2.3500,2024-12-10 19:00,16.0,21.5,0.7,18.0,20.5
Paris,48.8500,2.3500,2024-12-10 20:00,16.3,21.9,0.72,18.4,20.8
Paris,48.8500,2.3500,2024-12-10 21:00,16.6,22.2,0.74,18.8,21.0
Paris,48.8500,2.3500,2024-12-10 22:00,16.9,22.6,0.76,19.2,21.2
Paris,48.8500,2.3500,2024-12-10 23:00,17.2,22.9,0.78,19.6,21.5
Paris,48.8500,2.3500,2024-12-11 00:00,17.5,23.2,0.8,20.0,21.8
Paris,48.8500,2.3500,2024-12-11 01:00,17.8,23.6,0.82,20.4,22.0
Paris,48.8500,2.3500,2024-12-11 02:00,18.1,23.9,0.84,20.8,22.2
Paris,48.8500,2.3500,2024-12-11 03:00,18.4,24.3,0.86,21.2,22.5
Paris,48.8500,2.3500,2024-12-11 04:00,18.7,24.6,0.88,21.6,22.8
Madrid,40.4100,-3.7000,2024-12-10 10:00,18.0,24.0,0.7,18.0,21.0
Madrid,40.4100,-3.7000,2024-12-10 11:00,18.3,24.4,0.72,18.4,21.2
Madrid,40.4100,-3.7000,2024-12-10 12:00,18.6,24.7,0.74,18.8,21.5
Madrid,40.4100,-3.7000,2024-12-10 13:00,18.9,25.1,0.76,19.2,21.8
Madrid,40.4100,-3.7000,2024-12-10 14:00,19.2,25.4,0.78,19.6,22.0
Madrid,40.4100,-3.7000,2024-12-10 15:00,19.5,25.8,0.8,20.0,22.2
Madrid,40.4100,-3.7000,2024-12-10 16:00,19.8,26.1,0.82,20.4,22.5
Madrid,40.4100,-3.7000,2024-12-10 17:00,20.1,26.4,0.84,20.8,22.8
Madrid,40.4100,-3.7000,2024-12-10 18:00,20.4,26.8,0.86,21.2,23.0
Madrid,40.4100,-3.7000,2024-12-10 19:00,20.7,27.1,0.88,21.6,23.2
Madrid,40.4100,-3.7000,2024-12-10 20:00,21.0,27.5,0.9,22.0,23.5
Madrid,40.4100,-3.7000,2024-12-10 21:00,21.3,27.9,0.92,22.4,23.8
Madrid,40.4100,-3.7000,2024-12-10 22:00,21.6,28.2,0.94,22.8,24.0
Madrid,40.4100,-3.7000,2024-12-10 23:00,21.9,28.6,0.96,23.2,24.2
Madrid,40.4100,-3.7000,2024-12-11 00:00,22.2,28.9,0.98,23.6,24.5
Madrid,40.4100,-3.7000,2024-12-11 01:00,22.5,29.2,1.0,24.0,24.8
Madrid,40.4100,-3.7000,2024-12-11 02:00,22.8,29.6,1.02,24.4,25.0
Madrid,40.4100,-3.7000,2024-12-11 03:00,23.1,29.9,1.04,24.8,25.2
Madrid,40.4100,-3.7000,2024-12-11 04:00,23.4,30.3,1.06,25.2,25.5
Madrid,40.4100,-3.7000,2024-12-11 05:00,23.7,30.6,1.08,25.6,25.8
Kyiv,50.4500,30.5200,2024-12-10 11:00,23.0,30.0,0.9,22.0,24.0
Kyiv,50.4500,30.5200,2024-12-10 12:00,23.3,30.4,0.92,22.4,24.2
Kyiv,50.4500,30.5200,2024-12-10 13:00,23.6,30.7,0.94,22.8,24.5
