name,latitude,longitude,timestamp,gamma,beta,alpha,ambient_dose_rate
Berlin Radiation,52.5200,13.4000,2024-12-10 08:00,0.08,0.03,0.01,0.1
Berlin Radiation,52.5200,13.4000,2024-12-10 09:00,0.084,0.033,0.012,0.105
Berlin Radiation,52.5200,13.4000,2024-12-10 10:00,0.088,0.036,0.014,0.11
Berlin Radiation,52.5200,13.4000,2024-12-10 11:00,0.092,0.039,0.016,0.115
Berlin Radiation,52.5200,13.4000,2024-12-10 12:00,0.096,0.042,0.018,0.12
Berlin Radiation,52.5200,13.4000,2024-12-10 13:00,0.1,0.045,0.02,0.125
Berlin Radiation,52.5200,13.4000,2024-12-10 14:00,0.104,0.048,0.022,0.13
Berlin Radiation,52.5200,13.4000,2024-12-10 15:00,0.108,0.051,0.024,0.135
Berlin Radiation,52.5200,13.4000,2024-12-10 16:00,0.112,0.054,0.026,0.14
Berlin Radiation,52.5200,13.4000,2024-12-10 17:00,0.116,0.057,0.028,0.145
Berlin Radiation,52.5200,13.4000,2024-12-10 18:00,0.12,0.06,0.03,0.15
Berlin Radiation,52.5200,13.4000,2024-12-10 19:00,0.124,0.063,0.032,0.155
Berlin Radiation,52.5200,13.4000,2024-12-10 20:00,0.128,0.066,0.034,0.16
Berlin Radiation,52.5200,13.4000,2024-12-10 21:00,0.132,0.069,0.036,0.165
Berlin Radiation,52.5200,13.4000,2024-12-10 22:00,0.136,0.072,0.038,0.17
Berlin Radiation,52.5200,13.4000,2024-12-10 23:00,0.14,0.075,0.04,0.175
Berlin Radiation,52.5200,13.4000,2024-12-11 00:00,0.144,0.078,0.042,0.18
Berlin Radiation,52.5200,13.4000,2024-12-11 01:00,0.148,0.081,0.044,0.185
Berlin Radiation,52.5200,13.4000,2024-12-11 02:00,0.152,0.084,0.046,0.19
Berlin Radiation,52.5200,13.4000,2024-12-11 03:00,0.156,0.087,0.048,0.195
Paris Radiation,48.8500,2.3500,2024-12-10 09:00,0.11,0.05,0.02,0.15
Paris Radiation,48.8500,2.3500,2024-12-10 10:00,0.114,0.053,0.022,0.155
Paris Radiation,48.8500,2.3500,2024-12-10 11:00,0.118,0.056,0.024,0.16
Paris Radiation,48.8500,2.3500,2024-12-10 12:00,0.122,0.059,0.026,0.165
Paris Radiation,48.8500,2.3500,2024-12-10 13:00,0.126,0.062,0.028,0.17
Paris Radiation,48.8500,2.3500,2024-12-10 14:00,0.13,0.065,0.03,0.175
Paris Radiation,48.8500,2.3500,2024-12-10 15:00,0.134,0.068,0.032,0.18
Paris Radiation,48.8500,2.3500,2024-12-10 16:00,0.138,0.071,0.034,0.185
Paris Radiation,48.8500,2.3500,2024-12-10 17:00,0.142,0.074,0.036,0.19
Paris Radiation,48.8500,2.3500,2024-12-10 18:00,0.146,0.077,0.038,0.195
Paris Radiation,48.8500,2.3500,2024-12-10 19:00,0.15,0.08,0.04,0.2
Paris Radiation,48.8500,2.3500,2024-12-10 20:00,0.154,0.083,0.042,0.205
Paris Radiation,48.8500,2.3500,2024-12-10 21:00,0.158,0.086,0.044,0.21
Paris Radiation,48.8500,2.3500,2024-12-10 22:00,0.162,0.089,0.046,0.215
Paris Radiation,48.8500,2.3500,2024-12-10 23:00,0.166,0.092,0.048,0.22
Paris Radiation,48.8500,2.3500,2024-12-11 00:00,0.17,0.095,0.05,0.225
Paris Radiation,48.8500,2.3500,2024-12-11 01:00,0.174,0.098,0.052,0.23
Paris Radiation,48.8500,2.3500,2024-12-11 02:00,0.178,0.101,0.054,0.235
Paris Radiation,48.8500,2.3500,2024-12-11 03:00,0.182,0.104,0.056,0.24
Paris Radiation,48.8500,2.3500,2024-12-11 04:00,0.186,0.107,0.058,0.245
Madrid Radiation,40.4100,-3.7000,2024-12-10 10:00,0.14,0.07,0.03,0.2
Madrid Radiation,40.4100,-3.7000,2024-12-10 11:00,0.144,0.073,0.032,0.205
Madrid Radiation,40.4100,-3.7000,2024-12-10 12:00,0.148,0.076,0.034,0.21
Madrid Radiation,40.4100,-3.7000,2024-12-10 13:00,0.152,0.079,0.036,0.215
Madrid Radiation,40.4100,-3.7000,2024-12-10 14:00,0.156,0.082,0.038,0.22
Madrid Radiation,40.4100,-3.7000,2024-12-10 15:00,0.16,0.085,0.04,0.225
Madrid Radiation,40.4100,-3.7000,2024-12-10 16:00,0.164,0.088,0.042,0.23
Madrid Radiation,40.4100,-3.7000,2024-12-10 17:00,0.168,0.091,0.044,0.235
Madrid Radiation,40.4100,-3.7000,2024-12-10 18:00,0.172,0.094,0.046,0.24
Madrid Radiation,40.4100,-3.7000,2024-12-10 19:00,0.176,0.097,0.048,0.245
Madrid Radiation,40.4100,-3.7000,2024-12-10 20:00,0.18,0.1,0.05,0.25
Madrid Radiation,40.4100,-3.7000,2024-12-10 21:00,0.184,0.103,0.052,0.255
Madrid Radiation,40.4100,-3.7000,2024-12-10 22:00,0.188,0.106,0.054,0.26
Madrid Radiation,40.4100,-3.7000,2024-12-10 23:00,0.192,0.109,0.056,0.265
Madrid Radiation,40.4100,-3.7000,2024-12-11 00:00,0.196,0.112,0.058,0.27
Madrid Radiation,40.4100,-3.7000,2024-12-11 01:00,0.2,0.115,0.06,0.275
Madrid Radiation,40.4100,-3.7000,2024-12-11 02:00,0.204,0.118,0.062,0.28
Madrid Radiation,40.4100,-3.7000,2024-12-11 03:00,0.208,0.121,0.064,0.285
Madrid Radiation,40.4100,-3.7000,2024-12-11 04:00,0.212,0.124,0.066,0.29
Madrid Radiation,40.4100,-3.7000,2024-12-11 05:00,0.216,0.127,0.068,0.295
Kyiv Radiation,50.4500,30.5200,2024-12-10 11:00,0.17,0.09,0.04,0.25
Kyiv Radiation,50.4500,30.5200,2024-12-10 12:00,0.174,0.093,0.042,0.255
Kyiv Radiation,50.4500,30.5200,2024-12-10 13:00,0.178,0.096,0.044,0.26
Kyiv Radiation,50.4500,30.5200,2024-12-10 14:00,0.182,0.099,0.046,0.265
Kyiv Radiation,50.4500,30.5200,2024-12-10 15:00,0.186,0.102,0.048,0.27
Kyiv Radiation,50.4500,30.5200,2024-12-10 16:00,0.19,0.105,0.05,0.275
Kyiv Radiation,50.4500,30.5200,2024-12-10 17:00,0.194,0.108,0.052,0.28
Kyiv Radiation,50.4500,30.5200,2024-12-10 18:00,0.198,0.111,0.054,0.285
Kyiv Radiation,50.4500,30.5200,2024-12-10 19:00,0.202,0.114,0.056,0.29
Kyiv Radiation,50.4500,30.5200,2024-12-10 20:00,0.206,0.117,0.058,0.295
Kyiv Radiation,50.4500,30.5200,2024-12-10 21:00,0.21,0.12,0.06,0.3
Kyiv Radiation,50.4500,30.5200,2024-12-10 22:00,0.214,0.123,0.062,0.305
Kyiv Radiation,50.4500,30.5200,2024-12-10 23:00,0.218,0.126,0.064,0.31
Kyiv Radiation,50.4500,30.5200,2024-12-11 00:00,0.222,0.129,0.066,0.315
Kyiv Radiation,50.4500,30.5200,2024-12-11 01:00,0.226,0.132,0.068,0.32
Kyiv Radiation,50.4500,30.5200,2024-12-11 02:00,0.23,0.135,0.07,0.325
Kyiv Radiation,50.4500,30.5200,2024-12-11 03:00,0.234,0.138,0.072,0.33
Kyiv Radiation,50.4500,30.5200,2024-12-11 04:00,0.238,0.141,0.074,0.335
Kyiv Radiation,50.4500,30.5200,2024-12-11 05:00,0.242,0.144,0.076,0.34
Kyiv Radiation,50.4500,30.5200,2024-12-11 06:00,0.246,0.147,0.078,0.345
Warsaw Radiation,52.2300,21.0100,2024-12-10 12:00,0.2,0.11,0.05,0.3
Warsaw Radiation,52.2300,21.0100,2024-12-10 13:00,0.204,0.113,0.052,0.305
Warsaw Radiation,52.2300,21.0100,2024-12-10 14:00,0.208,0.116,0.054,0.31
Warsaw Radiation,52.2300,21.0100,2024-12-10 15:00,0.212,0.119,0.056,0.315
Warsaw Radiation,52.2300,21.0100,2024-12-10 16:00,0.216,0.122,0.058,0.32
Warsaw Radiation,52.2300,21.0100,2024-12-10 17:00,0.22,0.125,0.06,0.325
Warsaw Radiation,52.2300,21.0100,2024-12-10 18:00,0.224,0.128,0.062,0.33
Warsaw Radiation,52.2300,21.0100,2024-12-10 19:00,0.228,0.131,0.064,0.335
Warsaw Radiation,52.2300,21.0100,2024-12-10 20:00,0.232,0.134,0.066,0.34
Warsaw Radiation,52.2300,21.0100,2024-12-10 21:00,0.236,0.137,0.068,0.345
Warsaw Radiation,52.2300,21.0100,2024-12-10 22:00,0.24,0.14,0.07,0.35
Warsaw Radiation,52.2300,21.0100,2024-12-10 23:00,0.244,0.143,0.072,0.355
Warsaw Radiation,52.2300,21.0100,2024-12-11 00:00,0.248,0.146,0.074,0.36
Warsaw Radiation,52.2300,21.0100,2024-12-11 01:00,0.252,0.149,0.076,0.365
Warsaw Radiation,52.2300,21.0100,2024-12-11 02:00,0.256,0.152,0.078,0.37
Warsaw Radiation,52.2300,21.0100,2024-12-11 03:00,0.26,0.155,0.08,0.375
Warsaw Radiation,52.2300,21.0100,2024-12-11 04:00,0.264,0.158,0.082,0.38
Warsaw Radiation,52.2300,21.0100,2024-12-11 05:00,0.268,0.161,0.084,0.385
Warsaw Radiation,52.2300,21.0100,2024-12-11 06:00,0.272,0.164,0.086,0.39
Warsaw Radiation,52.2300,21.0100,2024-12-11 07:00,0.276,0.167,0.088,0.395
